0;0;0;0;land;false;unknown;0
1;236;190;212;land;false;plains;1
2;205;204;143;land;false;forest;1
3;216;246;168;land;false;hills;1
4;121;236;161;land;false;plains;1
5;201;176;185;land;true;forest;1
6;68;251;228;land;false;plains;1
7;149;199;191;land;true;plains;1
8;210;198;243;land;false;plains;1
9;209;143;214;land;true;plains;1
10;89;242;171;land;false;jungle;1
11;214;241;112;land;false;plains;1
12;246;77;244;land;false;plains;1
13;249;181;153;land;false;forest;1
14;178;140;233;land;false;plains;1
15;235;233;76;land;false;jungle;1
16;145;204;224;land;false;mountain;1
17;202;250;237;land;false;plains;1
18;240;172;252;land;false;hills;1
19;211;185;181;land;false;jungle;1
20;155;180;243;land;false;plains;1
21;208;239;107;land;false;plains;1
22;223;125;220;land;false;hills;1
23;208;222;132;land;false;plains;1
24;246;187;204;land;false;urban;1
25;171;198;235;land;false;hills;1
26;206;63;239;land;true;plains;1
27;125;194;245;land;false;plains;1
28;201;128;185;land;false;plains;1
29;245;226;201;land;false;plains;1
30;226;252;106;land;false;hills;1
31;183;153;251;land;false;jungle;1
32;80;185;251;land;false;desert;1
33;246;184;213;land;false;plains;1
34;234;122;218;land;false;plains;1
35;235;196;166;land;false;plains;1
36;253;159;214;land;false;plains;1
37;100;173;248;land;false;plains;1
38;138;144;247;land;false;plains;1
39;235;102;172;land;false;hills;1
40;204;178;226;land;false;jungle;1
41;247;197;234;land;false;plains;1
42;239;193;80;land;false;plains;1
43;176;178;212;land;false;plains;1
44;190;99;227;land;true;plains;1
45;192;195;137;land;false;jungle;1
46;238;153;111;land;true;jungle;1
47;217;107;188;land;false;jungle;1
48;216;249;73;land;false;plains;1
49;132;235;169;land;false;plains;1
50;231;132;205;land;false;plains;1
51;147;180;233;land;false;jungle;1
52;196;160;215;land;false;jungle;1
53;226;123;233;land;false;desert;1
54;213;244;54;land;false;plains;1
55;119;223;210;land;true;jungle;1
56;236;169;217;land;false;desert;1
57;125;233;234;land;false;desert;1
58;238;211;91;land;false;jungle;1
59;213;210;156;land;true;plains;1
60;248;227;157;land;false;plains;1
61;161;207;149;land;true;plains;1
62;197;164;140;land;true;forest;1
63;122;165;234;land;false;plains;1
64;239;163;197;land;false;plains;1
65;127;227;184;land;false;plains;1
66;197;203;223;land;false;plains;1
67;78;246;198;land;false;plains;1
68;240;235;142;land;false;mountain;1
69;227;210;130;land;false;plains;1
70;177;157;243;land;true;hills;1
71;252;249;179;land;false;marsh;1
72;203;230;201;land;true;plains;1
73;248;230;82;land;false;desert;1
74;241;188;230;land;false;hills;1
75;218;231;178;land;true;jungle;1
76;81;240;250;land;true;jungle;1
77;190;201;140;land;false;plains;1
78;155;148;242;land;true;plains;1
79;156;100;250;land;false;plains;1
80;204;232;125;land;false;jungle;1
81;218;209;152;land;false;hills;1
82;228;161;195;land;false;forest;1
83;231;120;248;land;false;plains;1
84;223;224;57;land;false;hills;1
85;246;84;243;land;false;desert;1
86;219;140;241;land;false;plains;1
87;211;207;204;land;true;plains;1
88;166;133;205;land;false;hills;1
89;185;142;243;land;false;hills;1
90;250;216;106;land;false;plains;1
91;179;188;242;land;false;plains;1
92;204;191;119;land;true;plains;1
93;99;205;252;land;false;hills;1
94;251;58;249;land;false;plains;1
95;211;85;225;land;false;hills;1
96;144;221;235;land;false;hills;1
97;159;252;236;land;false;jungle;1
98;165;187;197;land;false;hills;1
99;208;147;155;land;true;plains;1
100;190;192;248;land;false;desert;1
101;239;179;88;land;false;plains;1
102;155;232;210;land;false;desert;1
103;111;235;194;land;false;plains;1
104;253;58;246;land;true;plains;1
105;171;149;253;land;false;plains;1
106;227;175;231;land;false;plains;1
107;244;241;151;land;false;desert;1
108;238;237;244;land;true;plains;1
109;207;192;163;land;false;plains;1
110;227;190;156;land;true;hills;1
111;236;63;224;land;false;forest;1
112;154;251;164;land;false;forest;1
113;238;175;113;land;false;plains;1
114;232;121;248;land;false;hills;1
115;217;232;116;land;false;plains;1
116;172;172;189;land;false;desert;1
117;225;110;221;land;false;plains;1
118;172;223;231;land;false;desert;1
119;149;180;236;land;false;hills;1
120;244;209;156;land;true;plains;1
121;207;173;213;land;true;hills;1
122;185;224;153;land;false;plains;1
123;202;252;183;land;true;plains;1
124;219;124;223;land;false;plains;1
125;125;233;175;land;false;plains;1
126;157;161;215;land;false;plains;1
127;184;196;150;land;false;plains;1
128;253;247;181;land;false;plains;1
129;217;237;249;land;false;jungle;1
130;207;219;238;land;false;hills;1
131;169;218;137;land;false;plains;1
132;182;201;129;land;false;plains;1
133;249;234;229;land;false;plains;1
134;213;77;212;land;false;hills;1
135;223;54;246;land;false;desert;1
136;220;162;232;land;true;plains;1
137;206;215;160;land;false;plains;1
138;174;161;236;land;false;plains;1
139;227;67;233;land;false;plains;1
140;246;124;184;land;false;plains;1
141;248;194;190;land;false;plains;1
142;166;157;224;land;false;plains;1
143;215;142;202;land;false;desert;1
144;154;219;140;land;false;desert;1
145;240;165;109;land;false;plains;1
146;236;250;206;land;false;plains;1
147;187;183;141;land;false;plains;1
148;136;230;250;land;false;plains;1
149;247;238;174;land;false;plains;1
150;154;150;251;land;false;jungle;1
151;199;241;130;land;true;plains;1
152;112;214;233;land;false;plains;1
153;216;236;81;land;true;plains;1
154;241;203;182;land;false;forest;1
155;234;158;154;land;true;plains;1
156;233;181;135;land;false;plains;1
157;240;72;231;land;false;plains;1
158;197;112;196;land;false;jungle;1
159;150;216;233;land;false;desert;1
160;224;253;145;land;false;desert;1
161;208;129;247;land;false;plains;1
162;137;184;244;land;true;marsh;1
163;231;192;216;land;false;plains;1
164;231;234;67;land;false;plains;1
165;248;135;134;land;true;urban;1
166;247;153;121;land;false;plains;1
167;235;101;182;land;false;plains;1
168;235;230;144;land;false;plains;1
169;229;233;180;land;false;plains;1
170;154;155;202;land;false;hills;1
171;159;215;152;land;true;forest;1
172;248;45;217;land;false;forest;1
173;217;75;245;land;false;plains;1
174;186;245;165;land;false;mountain;1
175;251;96;161;land;false;hills;1
176;244;162;117;land;true;plains;1
177;184;186;213;land;false;hills;1
178;175;243;164;land;false;plains;1
179;166;225;112;land;false;plains;1
180;150;183;196;land;false;plains;1
181;199;234;79;land;false;forest;1
182;204;211;177;land;false;plains;1
183;197;149;239;land;false;hills;1
184;238;198;75;land;true;plains;1
185;249;54;234;land;false;plains;1
186;194;64;251;land;false;hills;1
187;226;181;235;land;false;forest;1
188;208;137;174;land;false;desert;1
189;220;245;229;land;false;marsh;1
190;147;194;213;land;false;plains;1
191;238;239;187;land;true;plains;1
192;198;85;234;land;false;jungle;1
193;237;41;231;land;false;plains;1
